t,x,y,vx,vy
0.0,0.3846666216850281,1.4533412456512451,9.98439884185791,27.0279598236084
0.1,1.3185322284698486,3.877241611480713,9.847712516784668,25.76011085510254
0.2,2.2294704914093018,6.150678634643555,9.684165954589844,24.434738159179688
0.3,3.1143195629119873,8.257606506347656,9.50442886352539,23.07720184326172
0.4,3.9864501953125,10.245124816894531,9.313921928405762,21.689029693603516
0.5,4.860701084136963,12.161744117736816,9.115235328674316,20.264263153076172
0.6,5.746543884277344,14.033658981323242,8.91051197052002,18.80129623413086
0.7,6.645689964294434,15.860054016113281,8.702849388122559,17.308948516845703
0.8,7.552289009094238,17.617624282836914,8.496543884277344,15.807073593139648
0.9,8.455328941345215,19.271259307861328,8.29643726348877,14.322135925292969
1.0,9.342545509338379,20.78743553161621,8.106736183166504,12.8799409866333
1.1,10.20409870147705,22.144351959228516,7.930117130279541,11.499189376831055
1.2,11.034581184387207,23.335147857666016,7.767479419708252,10.188713073730469
1.3,11.832977294921875,24.365013122558594,7.618313312530518,8.948566436767578
1.4,12.601390838623047,25.245880126953125,7.481299877166748,7.773063659667969
1.5,13.343572616577148,25.991832733154297,7.35482120513916,6.6538286209106445
1.6,14.063766479492188,26.616209030151367,7.237290859222412,5.581907272338867
1.7,14.766060829162598,27.130435943603516,7.127309322357178,4.54892635345459
1.8,15.454076766967773,27.543636322021484,7.023697853088379,3.547560691833496
1.9,16.13087272644043,27.862823486328125,6.925512313842773,2.5716323852539062
2.0,16.79893684387207,28.093130111694336,6.832001686096191,1.6160709857940674
2.1,17.46023941040039,28.238162994384766,6.742587089538574,0.67680823802948
2.2,18.116256713867188,28.300216674804688,6.656833171844482,-0.24934089183807373
2.3,18.768085479736328,28.280628204345703,6.5744123458862305,-1.1647857427597046
2.4,19.416486740112305,28.17993927001953,6.495083808898926,-2.0713000297546387
2.5,20.061967849731445,27.99820327758789,6.418671131134033,-2.970118999481201
2.6,20.704862594604492,27.73511505126953,6.345030307769775,-3.862053871154785
2.7,21.345388412475586,27.39017105102539,6.274033069610596,-4.747576713562012
2.8,21.983675003051758,26.962806701660156,6.205557346343994,-5.626860618591309
2.9,22.61981201171875,26.452434539794922,6.13947057723999,-6.4998369216918945
3.0,23.25381851196289,25.858501434326172,6.075622081756592,-7.366178512573242
3.1,23.885669708251953,25.180517196655273,6.013857364654541,-8.225293159484863
3.2,24.515247344970703,24.418109893798828,5.9540114402771,-9.076306343078613
3.3,25.142349243164062,23.57101821899414,5.8959126472473145,-9.918025970458984
3.4,25.76665496826172,22.639131546020508,5.839399814605713,-10.74897575378418
3.5,26.38779067993164,21.622461318969727,5.784317493438721,-11.567437171936035
3.6,27.005355834960938,20.521121978759766,5.730520725250244,-12.37155532836914
3.7,27.618999481201172,19.33515167236328,5.677867412567139,-13.159491539001465
3.8,28.22850227355957,18.0644588470459,5.626224040985107,-13.929573059082031
3.9,28.83377456665039,16.708728790283203,5.575459957122803,-14.680398941040039
4.0,29.434743881225586,15.267683029174805,5.525458812713623,-15.410844802856445
4.1,30.031164169311523,13.741662979125977,5.47615909576416,-16.11986541748047
4.2,30.622220993041992,12.132827758789062,5.427606105804443,-16.806163787841797
4.3,31.206146240234375,10.446431159973145,5.380023956298828,-17.467817306518555
4.4,31.780210494995117,8.691496849060059,5.333862781524658,-18.102191925048828
4.5,32.34111404418945,6.8796868324279785,5.289751052856445,-18.706478118896484
4.6,32.88589859008789,5.0224151611328125,5.248354911804199,-19.2786922454834
4.7,33.412750244140625,3.127596855163574,5.210193157196045,-19.81865692138672
4.8,33.92141342163086,1.1979827880859375,5.175518035888672,-20.328317642211914
4.9,34.41293716430664,-0.7681993842124939,5.144315242767334,-20.811288833618164
5.0,34.88911819458008,-2.775243043899536,5.1163506507873535,-21.272075653076172
5.1,35.35193634033203,-4.827662944793701,5.091240406036377,-21.715312957763672
5.2,35.80305862426758,-6.928552627563477,5.068492412567139,-22.145212173461914
5.3,36.24372863769531,-9.078824996948242,5.047530651092529,-22.56533432006836
5.4,36.67469024658203,-11.277334213256836,5.02771520614624,-22.978561401367188
5.5,37.096397399902344,-13.521697998046875,5.008330345153809,-23.387115478515625
5.6,37.50910568237305,-15.809362411499023,4.988596439361572,-23.792741775512695
5.7,37.91307067871094,-18.138614654541016,4.967651844024658,-24.196807861328125
5.8,38.3085823059082,-20.509078979492188,4.944543838500977,-24.60036277770996
5.9,38.69590377807617,-22.92145347595215,4.918222904205322,-25.00409698486328
